file,product,model,colour,code,lighting,angle
bottle_SER1-AMB-GL-SLV-IVO_neon_front.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,neon,front
bottle_SER1-AMB-GL-SLV-IVO_neon_hero.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,neon,hero
bottle_SER1-AMB-GL-SLV-IVO_neon_high.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,neon,high
bottle_SER1-AMB-GL-SLV-IVO_neon_profile.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,neon,profile
bottle_SER1-AMB-GL-SLV-IVO_showroom_front.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,showroom,front
bottle_SER1-AMB-GL-SLV-IVO_showroom_hero.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,showroom,hero
bottle_SER1-AMB-GL-SLV-IVO_showroom_high.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,showroom,high
bottle_SER1-AMB-GL-SLV-IVO_showroom_profile.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,showroom,profile
bottle_SER1-AMB-GL-SLV-IVO_studio_front.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,studio,front
bottle_SER1-AMB-GL-SLV-IVO_studio_hero.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,studio,hero
bottle_SER1-AMB-GL-SLV-IVO_studio_high.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,studio,high
bottle_SER1-AMB-GL-SLV-IVO_studio_profile.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,studio,profile
bottle_SER1-AMB-GL-SLV-IVO_sunset_front.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,sunset,front
bottle_SER1-AMB-GL-SLV-IVO_sunset_hero.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,sunset,hero
bottle_SER1-AMB-GL-SLV-IVO_sunset_high.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,sunset,high
bottle_SER1-AMB-GL-SLV-IVO_sunset_profile.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,sunset,profile
bottle_SER1-AMB-GL-SLV-IVO_white_front.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,white,front
bottle_SER1-AMB-GL-SLV-IVO_white_hero.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,white,hero
bottle_SER1-AMB-GL-SLV-IVO_white_high.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,white,high
bottle_SER1-AMB-GL-SLV-IVO_white_profile.png,bottle,SERUM 30ML,Amber,SER1-AMB-GL-SLV-IVO,white,profile
bottle_SER1-BLS-ST-WAL-NON_neon_front.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,neon,front
bottle_SER1-BLS-ST-WAL-NON_neon_hero.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,neon,hero
bottle_SER1-BLS-ST-WAL-NON_neon_high.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,neon,high
bottle_SER1-BLS-ST-WAL-NON_neon_profile.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,neon,profile
bottle_SER1-BLS-ST-WAL-NON_showroom_front.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,showroom,front
bottle_SER1-BLS-ST-WAL-NON_showroom_hero.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,showroom,hero
bottle_SER1-BLS-ST-WAL-NON_showroom_high.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,showroom,high
bottle_SER1-BLS-ST-WAL-NON_showroom_profile.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,showroom,profile
bottle_SER1-BLS-ST-WAL-NON_studio_front.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,studio,front
bottle_SER1-BLS-ST-WAL-NON_studio_hero.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,studio,hero
bottle_SER1-BLS-ST-WAL-NON_studio_high.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,studio,high
bottle_SER1-BLS-ST-WAL-NON_studio_profile.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,studio,profile
bottle_SER1-BLS-ST-WAL-NON_sunset_front.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,sunset,front
bottle_SER1-BLS-ST-WAL-NON_sunset_hero.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,sunset,hero
bottle_SER1-BLS-ST-WAL-NON_sunset_high.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,sunset,high
bottle_SER1-BLS-ST-WAL-NON_sunset_profile.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,sunset,profile
bottle_SER1-BLS-ST-WAL-NON_white_front.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,white,front
bottle_SER1-BLS-ST-WAL-NON_white_hero.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,white,hero
bottle_SER1-BLS-ST-WAL-NON_white_high.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,white,high
bottle_SER1-BLS-ST-WAL-NON_white_profile.png,bottle,SERUM 30ML,Blush,SER1-BLS-ST-WAL-NON,white,profile
bottle_SER1-COB-GL-SLV-IVO_neon_front.png,bottle,SERUM 30ML,Cobalt,SER1-COB-GL-SLV-IVO,neon,front
bottle_SER1-COB-GL-SLV-IVO_neon_hero.png,bottle,SERUM 30ML,Cobalt,SER1-COB-GL-SLV-IVO,neon,hero
